Unnamed: 0,review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name
156,R5Q1SPE8H056D,B09H27SXHS,2.0 out of 5 stars Bad ergonomics. No longer makes sounds after 1 month of light use.,Bubblechaos,2,The fall out of ur ears so often. I can still use the touch sensor to skip and both ear buds pause music. But there is no longer sound on both earbuds. Nothing works.,"Reviewed in the United States May 16, 2022",AEGSNFQGQIPYQ6L67D5HEEXLNJBQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
157,R5Y7S8SPJKZSO,B09H27SXHS,2.0 out of 5 stars Problems after a few monthsâ€¦,Matt Tolleson,2,"Worked great for a few months, then started to cut out. Sounds good when workingâ€¦Iâ€™m hoping they send replacements, Iâ€™m not sure if they will, itâ€™s very obvious they barely know English. I will update if the new ones actually ship.","Reviewed in the United States January 30, 2022",AE74TKH6LUJT4OGRNBKKMR5IVTAA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
158,R2H0G95FL5667V,B09H27SXHS,5.0 out of 5 stars Bang for your buck ðŸ’¯,John Ardoin,5,Louder and deeper bass than Air Pods. Great battery life. Small container.,"Reviewed in the United States July 18, 2022",AG4X2H7U2JEQYNDCBBFPBZCNIFBA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
159,RZT98XZ9YFO4H,B09H27SXHS,5.0 out of 5 stars Great little earbuds,Kenneth Peterson,5,These have exceeded my expectations for budget friendly ear buds!,"Reviewed in the United States August 19, 2022",AECRHF6UKPZPSWGBIUYITRICQSPQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
160,R2P1X36CQGOZYT,B09H27SXHS,1.0 out of 5 stars Worst earbuds ever,Regine Dominique,1,"Those are the worst earbuds i ever use in my whole life. After charging them , i tried the pairing with my phone , it took me more then 30 mns to finally â€œdiscoveredâ€ them. After only on gave sound the other was connected but no sound was given. Right after i contacted amazon to proceed a refund , they said only after receiving the item. These companies have 0 respect for customers. U sent me a damage accessory and you think iâ€™m gonna keep it. Like if take two weeks to receive the garbage they sell me i ll find my money in two weeks too.","Reviewed in the United States March 2, 2022",AGWKSYEGWUYL4ND4MTVLSS36F7IQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
161,R1727QBIB9N6BG,B09H27SXHS,5.0 out of 5 stars Excelente auriculares tienen buena calidad y duraciÃ³n de baterÃ­a,anthony flores,5,El artÃ­culo esta excelente tiene buena calidad de sonido y la duraciÃ³n de la baterÃ­a es excelente muy recomendable,"Reviewed in the United States March 31, 2022",AEPPZBIVXXKP34TIXGOLXXYW4MSQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
162,R2AG8TRXZBISU7,B09H27SXHS,5.0 out of 5 stars Exceptional,Chris,5,"Overall compact packaging , ergonomic charging case . Sound quality is great . Very satisfied , no regrets .","Reviewed in the United States March 25, 2022",AGPEQXYNB2PP4OI5VMQKSBMENV7Q,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
163,R1LYHLAGQNZ8Z3,B09H27SXHS,1.0 out of 5 stars Good sound quality but 1 big problem,Joshua Laird,1,"The sound quality when they're working is great for 25$ earbuds. But my right ear bud is constantly being disconnected for no reason. It happens every time I use them. I stopped using these 1 day after I got them because it's so irritating. After it disconnects randomly mid song, it just makes a beeping noise till you put it back in its case with the other one. Then take them out they both connect and 1 minute later the right earbud disconnects again. And they are both fully charged and the case too. I am dissapointed by an HTC product","Reviewed in the United States February 28, 2022",AHENQJDEGAZ37URNEQQK4BQWDESA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
164,R126Y2OGSB524Q,B09H27SXHS,5.0 out of 5 stars Great headphones,Jonathan Colston,5,I so love them. They are very good and I can hear just about everything,"Reviewed in the United States March 28, 2022",AG2KYYDBIETR34P6GKZ32UK7BM7A,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
165,RYR6RJHOV9O9B,B09H27SXHS,1.0 out of 5 stars Low audio volume,Amazonian,1,"The audio quality on the device is ok but the max volume on the buds is very low. I tested these on multiple devices and compared them to an even less expensive set of Anker buds to compare the volume level. If my phone was on ""10"", the Anker's played the audio at ""10"", where the volume on the HTC Earbuds was at a 5. Compared with Samsung headphones as well and same results. I tried to return these buds but missed the return window.They are lightweight and comfortable but that is all they have going for them.","Reviewed in the United States February 11, 2022",AGAY5CC3KUAYC4CCNL4EIEAQ33ZQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
